,coef,nulls,distinct_count,mean,mean_rej,mean_app,std_dev,top10Values,dtype,i
secondary_focus_subject_Applied Sciences,0.12887686776542243,0,2,0.0284439933764222,0.027936541851396827,0.028951444901447573,0.16623979881492496,"0    36377
1     1065
dtype: int64",float64,122
primary_focus_subject_Applied Sciences,-0.12848332203324023,0,2,0.05242775492762139,0.052507878852625395,0.052347631002617384,0.2228910323545578,"0    35479
1     1963
dtype: int64",float64,88
school_state_CA,-0.1271429513286184,0,2,0.18172106190908605,0.16895464985844774,0.19448747395972438,0.38561961712299075,"0    30638
1     6804
dtype: int64",float64,34
school_state_WV,0.11997822198746834,0,2,0.0035788686501789435,0.00336520485016826,0.003792532450189627,0.05971729727774164,"0    37308
1      134
dtype: int64",float64,79
secondary_focus_subject_Health & Wellness,0.11993911526827516,0,2,0.01281982800064099,0.013674483200683724,0.01196517280059826,0.11249808008115661,"0    36962
1      480
dtype: int64",float64,135
primary_focus_subject_Special Needs,-0.11969026732311426,0,2,0.07195128465359757,0.08135249185406762,0.0625500774531275,0.25841068233374126,"0    34748
1     2694
dtype: int64",float64,112
school_state_MN,-0.11543070111228801,0,2,0.006944073500347204,0.005662090700283105,0.008226056300411302,0.08304238389380898,"0    37182
1      260
dtype: int64",float64,53
school_state_NY,-0.11377863119615818,0,2,0.09115431867955771,0.0909139469045457,0.09139469045456973,0.2878322802475204,"0    34029
1     3413
dtype: int64",float64,64
school_state_ND,0.1125464942250342,0,2,0.0006409914000320495,0.00016024785000801238,0.0011217349500560869,0.025310030405411726,"0    37418
1       24
dtype: int64",float64,58
school_state_CO,0.11062436256471152,0,2,0.011404305325570215,0.012125420650606272,0.01068319000053416,0.10618167575417438,"0    37015
1      427
dtype: int64",float64,35
primary_focus_area_Health & Sports,0.10789412948224965,0,2,0.02937877250146894,0.03317130495165856,0.02558624005127931,0.16886806046040084,"0    36342
1     1100
dtype: int64",float64,116
need_statement_mv,0.10256313632519341,0,2,0.002991293200149565,0.00598258640029913,0.0,0.0546115832005736,"0    37330
1      112
dtype: int64",float64,28
primary_focus_subject_Parent Involvement,-0.10081939472776216,0,2,0.0019229742000961487,0.002350301800117515,0.0014956466000747824,0.04381013160989498,"0    37370
1       72
dtype: int64",float64,109
resource_type_Trips,0.0997249924551675,0,2,0.00980182682549009,0.014208642700710433,0.0053950109502697505,0.09851908568522223,"0    37075
1      367
dtype: int64",float64,160
school_state_OH,0.0986048073013358,0,2,0.01281982800064099,0.01196517280059826,0.013674483200683724,0.11249808008115661,"0    36962
1      480
dtype: int64",float64,65
primary_focus_subject_Community Service,-0.09466855462289331,0,2,0.0035521606751776082,0.00464718765023236,0.0024571337001228566,0.0594948515945844,"0    37309
1      133
dtype: int64",float64,92
school_state_MS,0.09175604373326994,0,2,0.012686288125634314,0.0133539875006677,0.012018588750600929,0.11191818777480352,"0    36967
1      475
dtype: int64",float64,55
secondary_focus_subject_Gym & Fitness,-0.08574604510959317,0,2,0.006169542225308477,0.006837241600341862,0.005501842850275092,0.07830480660725478,"0    37211
1      231
dtype: int64",float64,133
email,-0.0856160628887224,0,2,0.0004273276000213664,0.0005875754500293788,0.000267079750013354,0.02066776232750099,"0    37426
1       16
dtype: int64",float64,5
school_state_KS,-0.08541277230822052,0,2,0.0048875594252443776,0.005768922600288446,0.00400619625020031,0.06974095705098272,"0    37259
1      183
dtype: int64",float64,46
primary_focus_subject_Environmental Science,-0.08465971794990645,0,2,0.04382778697719139,0.04705945195235297,0.040596122002029805,0.20471451180736264,"0    35801
1     1641
dtype: int64",float64,96
primary_focus_subject_Character Education,-0.08067641404864762,0,2,0.015650873350782545,0.016505528550825276,0.014796218150739811,0.12412225822208513,"0    36856
1      586
dtype: int64",float64,89
primary_focus_subject_Other,-0.08022838429189853,0,2,0.01850862667592543,0.02275519470113776,0.014262058650713103,0.13478331723942114,"0    36749
1      693
dtype: int64",float64,108
secondary_focus_area_Special Needs,-0.07886186940007399,0,2,0.043934618877196734,0.04369424710218471,0.04417499065220875,0.2049524091658589,"0    35797
1     1645
dtype: int64",float64,155
secondary_focus_subject_Environmental Science,-0.0782901866791835,0,2,0.02750921425137546,0.029592436301479622,0.0254259922012713,0.16356396884917487,"0    36412
1     1030
dtype: int64",float64,130
