,coef
fluenci,0.8732139054770386
plan,-0.8724462994898902
purchas,0.8722160582061039
progress,-0.8716088269317966
peer,0.8712705382568022
athlet,0.8700756785131543
independ,0.8699415573687506
discuss,0.8690912912576948
sun,0.8687292396204757
varieti,0.8684999134051004
powerpoint,0.8682943574883742
utmost,-0.867560475968281
true,0.8671056841045655
physic,0.8653124545000976
paper,0.8652513434699507
latino,-0.863922149121718
odd,-0.8615468465582703
anchor,-0.8594117290472664
club,-0.8591706514777523
nchildren,-0.8574790169081122
seuss,0.8555649762330607
carolina,0.8524533652635414
farm,0.8506180091181421
innov,-0.8477015785454884
rememb,0.8465664702245101
terrif,0.8402005280341499
paint,0.8357798273314553
southwest,-0.8345634813436013
imagin,0.8343195457448914
bad,-0.8341103185007985
system,0.8309927545931055
pursu,0.82977326430625
circl,0.8287232601826456
without,0.8281509620747226
photograph,0.8229195129570438
binder,0.818020514491606
cooper,0.8166917306383322
element,0.8164156484435644
current,0.8156748883857036
happi,-0.8156346246980759
revolutionari,-0.814833548951154
lamin,0.8133114343445671
senior,0.8100300440591901
exhibit,-0.8024759605415774
ipod,0.8016479324649952
phone,-0.7998514258030743
hall,0.7977512260944979
wonder,0.7956106090858113
35,0.7942858015331025
kindergrtn,-0.793885659859538
highli,0.7936378285282957
ask,0.7921621304722777
chair,0.7914755671024204
interpret,-0.7913365643394992
tablet,0.7910938926582253
restrict,0.7909043199235508
obes,-0.7874253244160649
nurseri,0.7863760321683084
titl,0.7829055588639283
better,-0.7815089109591064
solv,0.7792744408140355
around,0.7772041648691017
someon,-0.7771432828480105
trauma,0.7765590305761529
brooklyn,-0.7762745192373867
poss,-0.7719621761804256
desper,0.7705174341422085
summer,-0.7700938189949319
organ,0.7669220917242782
birthday,0.7654933097867898
togeth,0.7654644784512851
potenti,-0.765100534653325
countri,0.7647431455632514
quiet,0.7641920835478567
reinforc,0.7608966899371852
focu,0.7578233162820348
fundament,0.7573979260876778
wors,0.756602549135998
watch,0.7562045323430256
rais,-0.7535024760938123
design,0.747122394376303
piec,0.7468124273562734
thing,0.7438034767858575
town,0.7419491917420942
unlik,0.7364078638557902
ear,0.7253220227341254
spiral,0.7215851718843289
classwork,0.7188473719281404
texa,-0.7165143547694173
mandat,-0.7164985645241523
aloud,0.7130410370935559
learner,0.7124338908281694
creat,0.7099273816976975
present,0.7091770106824082
forev,0.7075786740516458
util,0.7052371490328214
treasur,0.7046439975265971
stop,0.7045695676113656
folder,0.7043375381575594
unawar,-0.697594306213322
tornado,0.6968155941980624
draw,0.6962039322085578
300,-0.6955820801960457
eat,0.6952951355105799
laptop,0.6924983666838005
york,0.69099414227477
enthusiast,0.6884893601040737
speed,0.6884377257787758
enhanc,-0.687081990617354
improv,0.6866174588309121
good,0.6859974023971651
nthank,0.6831156965572046
nin,0.681119505887122
extra,0.6806569532644386
oil,0.6802833337315671
illustr,0.6800344732198601
disturb,0.6796646397623006
photocopi,0.6790058229344146
onlin,0.6752690381077693
fantasi,0.6745735750488917
scissor,0.6743694166289016
tray,0.6740260245186667
weather,0.6727084018425084
academi,-0.6686477815272079
concern,-0.6669530304139344
tear,0.6636203999014402
kid,-0.6625068715568467
almost,-0.6619859103867028
basket,0.660477963069461
nwe,-0.6596453477624489
delay,0.6567932113268181
nsome,0.6559379308846247
day,0.6536900342814815
shoot,0.6536613249784793
mosaic,0.653625009482191
visit,0.6526135403730218
descript,-0.652105113470118
enlarg,-0.6507738876881342
gang,0.6478998325291438
reward,-0.6465579304347426
cam,-0.6436158812756078
wider,0.6427576861050628
realli,-0.6392833424195339
concentr,0.6390124140979047
prepar,0.6387982886371432
specialist,0.6368772613364231
engin,0.6351022296662291
fourth,0.6342843132739071
deserv,-0.6338845957901249
happen,0.6328858315205237
could,0.6315312883658574
multipl,0.6301405285971499
accomplish,0.6292755139997717
excit,0.628852123788404
eager,0.6286105476133381
depth,0.6284622974948244
tank,0.6270911626644754
lay,0.622967615774909
throughout,0.6221782588390234
generos,0.6197927511138744
weekli,0.619365465747087
soccer,0.6190899725344821
turn,0.6189036882965132
everi,0.618686338613879
jam,-0.6180590619277728
retard,0.6174507934204562
imag,0.6154123735990695
download,-0.6146099639827539
school,-0.6140641106225107
wait,0.6103195559083311
printer,0.6077404177565562
disabl,-0.6059652919011679
barrier,-0.6059449844107457
shear,-0.6014928975374189
see,0.5991020063117252
donor,-0.5990158927620252
memori,0.5986554443933613
lowest,-0.5962819822568283
launch,0.5913970973301341
transform,0.5911824021439495
contact,-0.5892413126873294
mr,-0.5869094911227647
packag,0.58579077033101
dozen,0.5852538433942293
isn,0.5849834659208603
older,-0.5844328840737877
word,0.5818919258962262
compar,0.5808711224670929
intuit,0.5804736430122615
side,0.5801810041412003
advanc,0.579994848051862
war,0.5793062536285907
volunt,-0.5787727260378935
rock,0.5768040186800945
lunch,0.5750911743834093
motor,-0.5736157774578368
5th,-0.5726637844888565
high,0.5704862570510667
spend,0.5700105060504789
ipad,-0.5692176924442354
wont,-0.5687466283937843
educ,-0.5681445832353199
button,0.5680490277130471
empow,-0.5662257613527646
60,0.5661835848593949
person,0.56571198204886
captiv,0.5641261369179228
nit,-0.5638423551768537
ongo,-0.562376139457399
infer,0.5587647188270007
profound,0.5581378192949679
multi,-0.5580891694991811
tv,-0.5579585271815976
season,0.5565876005591127
stand,0.5555516787232427
otherwis,0.5516055052319152
probabl,0.5514926761007312
confus,0.5512592286141768
benefici,0.5506215811882682
particip,0.5495300407201549
script,0.5487687375274466
disadvantag,0.548615075346075
lot,-0.5461077155074829
everyday,-0.5456690364985346
view,0.5418790343833781
money,-0.5418671731163761
sponsor,-0.5410472025502951
divid,0.5409940265510524
writer,0.5408740676467717
finish,0.5406482194024916
habit,0.5404891625134908
knew,0.538892314746964
track,0.5387433981636207
video,0.5386836728850433
incorpor,-0.5371048731858186
avenu,-0.536559417745062
climb,0.5364722916737521
lab,0.5312878571943187
ndure,-0.5277093834988509
anoth,0.5273400695281137
key,0.5239371937178878
order,0.52235915964344
hardwork,0.5206511597796728
attent,0.5200281956414202
full,0.5193458523106836
place,0.5193453443925286
outdat,-0.5188087958590498
histor,0.5178964909835652
4th,0.5118336065772386
strengthen,0.5065243073645112
everyon,0.505633079327178
object,0.5051105912304857
english,0.501410060985825
grow,0.49944699384192254
lost,0.4988931358864898
central,0.49886612237641287
given,0.49842146961523237
brighter,0.49836877104098165
dramat,0.4981186282785316
rotat,0.4980221851200337
depart,-0.49760849810282265
start,0.49749861818918834
know,-0.49692790952574356
week,0.4923129871706764
huge,0.4909889824045952
pen,0.4889246207372283
curl,0.48786923205504296
photo,0.4871493721748428
mission,0.48670210776394496
remain,0.4832733570298478
past,0.48298056040415843
cover,0.4820130829031907
instead,0.4799335200640561
